ID,RID,RCT,RMT,Section,Ordinal,Label,NCBI_GeneID,NCBI_Symbol,Value,Probe_Set_Name,Section_Ordinal,Site_RID,Section_RID,Probe_Set_RID
11820031,1-FX74,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),311,E11.5_UretBud_7111,12267,C3ar1,5.06385,1419483_at,3,N-GGKE,N-C84G,N-6QNC
11820032,1-FX76,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),312,E11.5_UretBud_7112,12267,C3ar1,5.22914,1419483_at,3,N-GGKE,N-C84G,N-6QNC
11820033,1-FX78,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),313,E11.5_UretBud_7113,12267,C3ar1,4.92186,1419483_at,3,N-GGKE,N-C84G,N-6QNC
11820034,1-FX7A,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),314,E12.5_RenVes_7077,12267,C3ar1,4.82992,1419483_at,3,N-GGP0,N-C84G,N-6QNC
11820035,1-FX7C,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),315,E12.5_RenVes_7078,12267,C3ar1,4.81031,1419483_at,3,N-GGP0,N-C84G,N-6QNC
11820036,1-FX7E,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),316,E12.5_RenVes_7079,12267,C3ar1,5.47716,1419483_at,3,N-GGP0,N-C84G,N-6QNC
11820037,1-FX7G,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),317,E12.5_RenVes_7080,12267,C3ar1,4.69651,1419483_at,3,N-GGP0,N-C84G,N-6QNC
11820038,1-FX7J,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),318,E12.5_RenVes_7081,12267,C3ar1,5.3082,1419483_at,3,N-GGP0,N-C84G,N-6QNC
11820039,1-FX7M,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),319,E13.5_Podocyte_MafB2_11686,12267,C3ar1,6.96266,1419483_at,3,N-GGG8,N-C84G,N-6QNC
11820040,1-FX7P,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),320,E13.5_Podocyte_MafB2_11687,12267,C3ar1,5.75256,1419483_at,3,N-GGG8,N-C84G,N-6QNC
11820041,1-FX7R,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),321,E13.5_Podocyte_MafB2_11688,12267,C3ar1,7.58089,1419483_at,3,N-GGG8,N-C84G,N-6QNC
11820042,1-FX7T,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),322,E14.5_Kidney_WT_7165,12267,C3ar1,5.52272,1419483_at,3,N-GGMA,N-C84G,N-6QNC
11820043,1-FX7W,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),323,E14.5_Kidney_WT_7166,12267,C3ar1,5.23833,1419483_at,3,N-GGMA,N-C84G,N-6QNC
11820044,1-FX7Y,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),324,E14.5_Kidney_Wnt4mut_7167,12267,C3ar1,5.82571,1419483_at,3,N-GGMC,N-C84G,N-6QNC
11820045,1-FX80,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),325,E14.5_Kidney_Wnt4mut_7168,12267,C3ar1,5.84981,1419483_at,3,N-GGMC,N-C84G,N-6QNC
11820046,1-FX82,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),326,E15.5_LOHenleAnlag_8104,12267,C3ar1,5.2371,1419483_at,3,N-GGK2,N-C84G,N-6QNC
11820047,1-FX84,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),327,E15.5_LOHenleAnlag_8105,12267,C3ar1,6.22308,1419483_at,3,N-GGK2,N-C84G,N-6QNC
11820048,1-FX86,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),328,E15.5_LOHenleAnlag_8106,12267,C3ar1,6.0676,1419483_at,3,N-GGK2,N-C84G,N-6QNC
11820049,1-FX88,2017-10-31 18:42:30.720407-07,2017-10-31 18:42:30.720407-07,Developing Kidney (MOE430),329,E15.5_CapMes_Six2_10720,12267,C3ar1,4.7527,1419483_at,3,N-GGP2,N-C84G,N-6QNC
